word,POS,signal,biasType,biasValue,derogatory,colloquial,forms,,
безпомощност,N,FALSE,,,FALSE,FALSE,FALSE,0,0.75
бременна,A,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
хуля,V,FALSE,religion,negative,TRUE,FALSE,FALSE,0,0
уважение,N,FALSE,,,FALSE,FALSE,FALSE,0.75,0
миротворчески,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
баща,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
жълтеникав,A,FALSE,appearance,negative,FALSE,FALSE,FALSE,0,0
панкреатит,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
възпламенимост,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
доверчив,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0.125
надменен,A,FALSE,,negative,TRUE,FALSE,FALSE,0,0.625
немит,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
простак,N,FALSE,,negative,TRUE,TRUE,FALSE,0,0
отбрана,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
високопоставен,A,FALSE,,,FALSE,FALSE,FALSE,0.625,0
нервна прострация,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.75
шефка,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
уязвимост,N,FALSE,,,FALSE,FALSE,FALSE,0,0.875
булка,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
поликистозна болест на бъбреците,N,TRUE,disability,,FALSE,FALSE,FALSE,0,0.625
гърч,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
oткровение,N,FALSE,,,FALSE,FALSE,FALSE,0.625,0
засрамен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
нечовешки,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
примитивен,A,FALSE,,negative,TRUE,FALSE,FALSE,0,0
съвсем,Adv,FALSE,,,FALSE,FALSE,FALSE,0.75,0
измамник,N,FALSE,,negative,TRUE,FALSE,FALSE,0,0.625
неплодотворен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
избухливост,N,FALSE,,,FALSE,FALSE,FALSE,0.125,0.625
фанатик,N,FALSE,religion,negative,TRUE,FALSE,FALSE,0,0
опак,A,FALSE,,,FALSE,FALSE,FALSE,0.25,0.75
арапин,N,FALSE,race_ethnicity,negative,TRUE,TRUE,FALSE,0,0
момиче,N,TRUE,gender,neutral,FALSE,FALSE,FALSE,0,0
безполов,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
тетаничен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
травмиращ,A,FALSE,,,FALSE,FALSE,FALSE,0,0.75
куц,A,TRUE,disability,negative,FALSE,FALSE,FALSE,0,0
разтежение,N,FALSE,,,FALSE,FALSE,FALSE,0,0.625
болнав,A,TRUE,disability,negative,FALSE,FALSE,FALSE,0,0
добродетелен,A,FALSE,,positive,TRUE,FALSE,FALSE,0.875,0
некомфортен,A,FALSE,,,FALSE,FALSE,FALSE,0,0.625
